"countrycode","countryname","region","regionname","adminregion","adminregionname","incomelevel","incomelevelname","lendingtype","lendingtypename","year","sp_pop_totl","unit","GHG Emissions...14","LULUCF...15","GHG Emissions including LULUCF...16","CO2 Emissions...17","LULUCF_CO2...18","CO2 Emissions including LULUCF_CO2...19","GHG Emissions...20","LULUCF...21","GHG Emissions including LULUCF...22","CO2 Emissions...23","LULUCF_CO2...24","CO2 Emissions including LULUCF_CO2...25"
"KNA","St Kitts and Nevis","LCN","Latin America and Caribbean",,,"HIC","High income","IBD","IBRD",2019,52834,"MtCO2e",0.349999994,0,0.349999994,0.25,0,0.25,6.624521975,0,6.624521975,4.731801491,0,4.731801491
"KOR","Korea, Rep","EAS","East Asia and Pacific",,,"HIC","High income","LNX","Not classified",2019,51764822,"MtCO2e",698.460022,-45.79999924,652.6599731,610.789978,-45.79999924,564.9899902,13.49294743,-0.8847707278,12.60817574,11.79932538,-0.8847707278,10.91455487
"KWT","Kuwait","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,4207077,"MtCO2e",136.6900024,0,136.6900024,92.65000153,0,92.65000153,32.4904922,0,32.4904922,22.0224164,0,22.0224164
"LAO","Lao PDR","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,7169456,"MtCO2e",29.28000069,10.14000034,39.41999817,18.70999908,8.670000076,27.37999916,4.083991963,1.414333297,5.498324862,2.609681834,1.209296783,3.818978617
"LBN","Lebanon","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,6855709,"MtCO2e",35.20999908,-0.07999999821,35.13000107,27.95000076,-0.07999999821,27.87000084,5.135865464,-0.01166910646,5.124196647,4.076894274,-0.01166910646,4.065225178
"LBR","Liberia","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,4937374,"MtCO2e",2.220000029,13.64999962,15.86999989,1.179999948,13.43999958,14.61999989,0.4496317331,2.764627435,3.214259217,0.23899343,2.722094697,2.961088199
"LBY","Libya","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,6777453,"MtCO2e",126.6900024,0,126.6900024,56.79999924,0,56.79999924,18.6928633,0,18.6928633,8.380729344,0,8.380729344
"LCA","St Lucia","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IDB","Blend",2019,182795,"MtCO2e",0.8799999952,-0.1400000006,0.7400000095,0.5400000215,-0.150000006,0.3899999857,4.814136028,-0.7658852846,4.048250825,2.95412906,-0.8205914055,2.133537491
"LIE","Liechtenstein","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,38020,"MtCO2e",0.1599999964,0,0.1599999964,0.150000006,0,0.150000006,4.208311321,0,4.208311321,3.945292108,0,3.945292108
"LKA","Sri Lanka","SAS","South Asia","SAS","South Asia (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,21803000,"MtCO2e",35.99000168,1.909999967,37.90000153,23.78000069,1.909999967,25.69000053,1.650690349,0.08760262196,1.738292965,1.090675627,0.08760262196,1.178278243
"LSO","Lesotho","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,2125267,"MtCO2e",2.529999971,0,2.529999971,0.7699999809,0,0.7699999809,1.190438647,0,1.190438647,0.3623074093,0,0.3623074093
"LTU","Lithuania","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,2794137,"MtCO2e",18.93000031,-0.6299999952,18.29999924,11.72999954,-0.6299999952,11.10000038,6.774900553,-0.2254721208,6.549428048,4.198076022,-0.2254721208,3.9726042
"LUX","Luxembourg","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,620001,"MtCO2e",10.47999954,-0.2800000012,10.19999981,9.489999771,-0.2800000012,9.210000038,16.9031978,-0.4516121767,16.45158606,15.30642656,-0.4516121767,14.85481481
"LVA","Latvia","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,1913822,"MtCO2e",11.69999981,-2.769999981,8.930000305,7.570000172,-2.779999971,4.789999962,6.113421107,-1.447365524,4.666055832,3.955435862,-1.452590665,2.502845072
"MAR","Morocco","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,36471766,"MtCO2e",93.08000183,-1.929999948,91.15000153,71.48000336,-1.940000057,69.54000092,2.552111182,-0.0529176445,2.499193528,1.959872285,-0.0531918322,1.906680387
"MDA","Moldova","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2664974,"MtCO2e",13.39000034,0.1099999994,13.5,8.859999657,0.1099999994,8.970000267,5.024439392,0.04127619984,5.065715463,3.324610168,0.04127619984,3.365886597
"MDG","Madagascar","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,26969306,"MtCO2e",29.57999992,10.64000034,40.22000122,4.119999886,10.11999989,14.23999977,1.096802414,0.3945225859,1.491325035,0.1527662553,0.3752413905,0.5280076458
"MDV","Maldives","SAS","South Asia","SAS","South Asia (excluding high income)","UMC","Upper middle income","IDX","IDA",2019,530957,"MtCO2e",2.599999905,0,2.599999905,2.109999895,0,2.109999895,4.896818207,0,4.896818207,3.973956262,0,3.973956262
"MEX","Mexico","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,127575529,"MtCO2e",653.8699951,16.96999931,670.8400269,449.269989,14.43999958,463.7099915,5.125355938,0.1330192353,5.258375428,3.521600048,0.113187848,3.634787918
"MHL","Marshall Islands","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","UMC","Upper middle income","IDX","IDA",2019,58791,"MtCO2e",0.2300000042,0,0.2300000042,0.1800000072,0,0.1800000072,3.912163497,0,3.912163497,3.061693238,0,3.061693238
"MKD","North Macedonia","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2076694,"MtCO2e",11.25,0.009999999776,11.26000023,8.300000191,0,8.300000191,5.417264171,0.004815345822,5.422079627,3.996737213,0,3.996737213
"MLI","Mali","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,19658023,"MtCO2e",44.15000153,0.009999999776,44.15999985,5.829999924,0,5.829999924,2.245902425,0.0005086981421,2.246411038,0.2965710196,0,0.2965710196
"MLT","Malta","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,504062,"MtCO2e",2.140000105,-0.009999999776,2.130000114,1.659999967,-0.009999999776,1.649999976,4.245509689,-0.01983882891,4.225670879,3.293245606,-0.01983882891,3.273406796
"MMR","Myanmar","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,54045422,"MtCO2e",133.25,109.6999969,242.9499969,36.72000122,102.6500015,139.3699951,2.465518726,2.029774084,4.49529281,0.6794285226,1.899328338,2.578756719
"MNE","Montenegro","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,622028,"MtCO2e",3.829999924,0.02999999933,3.859999895,2.599999905,0.02999999933,2.630000114,6.157278971,0.04822933908,6.205508265,4.179875994,0.04822933908,4.228105671
"MNG","Mongolia","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,3225166,"MtCO2e",56.04999924,3.099999905,59.15000153,23.06999969,3.099999905,26.17000008,17.37895018,0.9611908053,18.34014172,7.153120086,0.9611908053,8.114311039
"MOZ","Mozambique","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,30366043,"MtCO2e",35.40000153,71.33999634,106.7399979,7.5,52.81999969,60.31999969,1.165775914,2.349334628,3.515110542,0.2469864118,1.739442959,1.986429371
"MRT","Mauritania","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,4525698,"MtCO2e",14.28999996,-1.080000043,13.21000004,3.950000048,-1.080000043,2.869999886,3.15752398,-0.2386372319,2.918886775,0.8727935553,-0.2386372319,0.6341562971
"MUS","Mauritius","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,1265711,"MtCO2e",6.849999905,-0.01999999955,6.829999924,4.170000076,-0.01999999955,4.150000095,5.411977856,-0.01580139507,5.396176476,3.294591006,-0.01580139507,3.278789625
"MWI","Malawi","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,18628749,"MtCO2e",10.94999981,8.390000343,19.34000015,1.450000048,8.149999619,9.600000381,0.5878011352,0.4503791609,1.038180296,0.07783668392,0.4374958092,0.5153325315
"MYS","Malaysia","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,31949789,"MtCO2e",313.019989,83.08999634,396.1099854,253.2700043,81.20999908,334.480011,9.797247456,2.600643038,12.39789049,7.927126037,2.541800795,10.46892707
"NAM","Namibia","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2494524,"MtCO2e",10.65999985,10.56000042,21.21999931,4.21999979,10.56000042,14.77999973,4.273360307,4.233272728,8.506632654,1.691705428,4.233272728,5.924977965
"NER","Niger","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,23310719,"MtCO2e",42.72000122,1.24000001,43.95999908,2.150000095,1.24000001,3.390000105,1.832633357,0.05319441282,1.885827678,0.09223225141,0.05319441282,0.1454266642
"NGA","Nigeria","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,200963603,"MtCO2e",308.1799927,46.15000153,354.3299866,115.2799988,45.99000168,161.2700043,1.533511482,0.2296435814,1.763155026,0.5736362061,0.2288474181,0.8024836431
"NIC","Nicaragua","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,6545503,"MtCO2e",18.79999924,19.61000061,38.40999985,5.239999771,19.51000023,24.75,2.872200843,2.995950137,5.868150981,0.8005495943,2.980672414,3.781222008
"NLD","Netherlands","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,17344874,"MtCO2e",172.2299957,1.360000014,173.5899963,146.3399963,1.360000014,147.6999969,9.929734614,0.07840933375,10.00814398,8.437074627,0.07840933375,8.515483995
"NOR","Norway","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,5347896,"MtCO2e",45.90000153,-18.92000008,26.97999954,35.95000076,-18.93000031,17.02000046,8.58281491,-3.537839942,5.044974611,6.722269985,-3.539709879,3.182560105
"NPL","Nepal","SAS","South Asia","SAS","South Asia (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,28608715,"MtCO2e",44.22000122,4.150000095,48.36999893,13.44999981,2.940000057,16.38999939,1.545682888,0.1450606955,1.6907435,0.4701364535,0.1027658899,0.5729023268
"NRU","Nauru","EAS","East Asia and Pacific",,,"HIC","High income","IBD","IBRD",2019,10764,"MtCO2e",0.0700000003,0,0.0700000003,0.05999999866,0,0.05999999866,6.503158705,0,6.503158705,5.574135884,0,5.574135884
"NZL","New Zealand","EAS","East Asia and Pacific",,,"HIC","High income","LNX","Not classified",2019,4979300,"MtCO2e",83.19999695,-10.60999966,72.58999634,34.00999832,-10.61999989,23.38999939,16.70917538,-2.130821532,14.57835365,6.830277011,-2.132829893,4.69744731
"OMN","Oman","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,4974992,"MtCO2e",100.2600021,0.01999999955,100.2799988,76.02999878,0.01999999955,76.05000305,20.15279665,0.004020106877,20.15681609,15.28243639,0.004020106877,15.28645736
"PAK","Pakistan","SAS","South Asia","SAS","South Asia (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,216565317,"MtCO2e",432.5,6.989999771,439.4899902,190.5700073,7,197.5700073,1.997088019,0.03227663537,2.029364611,0.8799654994,0.03232281187,0.9122883113
"PAN","Panama","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,4246440,"MtCO2e",20.87999916,4.420000076,25.29999924,13.34000015,4.400000095,17.73999977,4.91705974,1.040871901,5.957931641,3.141454996,1.036162078,4.177616962
"PER","Peru","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,32510462,"MtCO2e",100.7300034,89.93000031,190.6600037,56.75,89.79000092,146.5399933,3.098387324,2.766186476,5.8645738,1.745591927,2.761880188,4.50747188
"PHL","Philippines","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,108116622,"MtCO2e",234.2799988,2.50999999,236.7899933,145.4199982,2.460000038,147.8800049,2.166919336,0.0232156716,2.190134957,1.345029057,0.02275320846,1.367782328
"PLW","Palau","EAS","East Asia and Pacific",,,"HIC","High income","IBD","IBRD",2019,18001,"MtCO2e",0.2899999917,0,0.2899999917,0.25,0,0.25,16.11021564,0,16.11021564,13.88811733,0,13.88811733
"PNG","Papua New Guinea","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,8776119,"MtCO2e",22.40999985,41.06000137,63.47000122,7.579999924,41,48.58000183,2.553520508,4.678605813,7.232126322,0.863707514,4.671768922,5.535476653
"POL","Poland","ECS","Europe and Central Asia",,,"HIC","High income","IBD","IBRD",2019,37965475,"MtCO2e",353.1400146,-32.90999985,320.230011,295.1300049,-32.90999985,262.2200012,9.301609282,-0.8668401975,8.434768984,7.773641839,-0.8668401975,6.906801541
"PRK","Korea, Dem People's Rep","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LIC","Low income","LNX","Not classified",2019,25666158,"MtCO2e",79.33999634,3.349999905,82.69000244,56.04000092,3.289999962,59.33000183,3.091229951,0.1305220635,3.221752256,2.18341993,0.1281843571,2.311604325
"PRT","Portugal","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,10286263,"MtCO2e",61.38000107,0.3199999928,61.70000076,44.63999939,0.2899999917,44.93000031,5.967181771,0.03110945081,5.998291193,4.339768426,0.02819293962,4.367961456
"PRY","Paraguay","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,7044639,"MtCO2e",49.54999924,47.04999924,96.59999847,8.210000038,45.97000122,54.18000031,7.033717304,6.678837516,13.71255482,1.165425232,6.525529728,7.690954825
"QAT","Qatar","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,2832071,"MtCO2e",114.7600021,0,114.7600021,91.97000122,0,91.97000122,40.52158372,0,40.52158372,32.47446876,0,32.47446876
"ROU","Romania","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,19371648,"MtCO2e",101.2399979,-22.87999916,78.36000061,73.94999695,-22.88999939,51.06000137,5.226194378,-1.181107522,4.045086954,3.817434477,-1.181623752,2.635810922
"RUS","Russian Federation","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,144406261,"MtCO2e",2476.840088,-552.0200195,1924.819946,1703.589966,-558.5,1145.089966,17.1518885,-3.822687574,13.32920008,11.79720293,-3.867560839,7.929642094
"RWA","Rwanda","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,12626938,"MtCO2e",5.340000153,1.659999967,7,1.330000043,1.659999967,2.99000001,0.422905391,0.1314649653,0.554370347,0.1053303693,0.1314649653,0.2367953347
"SAU","Saudi Arabia","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,34268529,"MtCO2e",723.1500244,0,723.1500244,523.7800293,0,523.7800293,21.10245305,0,21.10245305,15.28457873,0,15.28457873
"SDN","Sudan","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,42813237,"MtCO2e",106.0599976,21.01000023,127.0699997,20.62000084,21.01000023,41.63000107,2.477271166,0.4907360831,2.968007294,0.4816267651,0.4907360831,0.9723628482
"SEN","Senegal","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,16296362,"MtCO2e",29.22999954,4.369999886,33.59999847,10.61999989,4.329999924,14.94999981,1.793651831,0.2681580027,2.061809775,0.6516791837,0.2657034695,0.9173826532
"SGP","Singapore","EAS","East Asia and Pacific",,,"HIC","High income","LNX","Not classified",2019,5703569,"MtCO2e",67.23000336,0.02999999933,67.26000214,47.38000107,0.02999999933,47.40999985,11.78735689,0.005259864364,11.79261654,8.307079491,0.005259864364,8.312339142
"SLB","Solomon Islands","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,669821,"MtCO2e",0.9399999976,45.41999817,46.36000061,0.3600000143,45.40999985,45.77000046,1.403359999,67.80915822,69.21252187,0.5374570435,67.79423137,68.3316893
"SLE","Sierra Leone","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,7813207,"MtCO2e",6.079999924,3.369999886,9.449999809,0.8999999762,3.339999914,4.239999771,0.778169569,0.4313209525,1.209490522,0.1151895728,0.4274813037,0.5426708612
"SLV","El Salvador","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,6453550,"MtCO2e",12.81999969,1.100000024,13.92000008,7.800000191,1.080000043,8.880000114,1.986503505,0.1704488264,2.156952387,1.208637136,0.1673497599,1.375986878
"SOM","Somalia","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,15442906,"MtCO2e",25.14999962,17.36000061,42.50999832,0.6899999976,17.36000061,18.04999924,1.628579467,1.124140794,2.752720137,0.04468070955,1.124140794,1.168821415
"SRB","Serbia","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,6945235,"MtCO2e",61.93000031,-0.0700000003,61.86000061,45.95000076,-0.09000000358,45.86000061,8.916904943,-0.01007885267,8.906826135,6.616046939,-0.01295852532,6.603088392
"SSD","South Sudan","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,11062114,"MtCO2e",50.90999985,9.420000076,60.33000183,1.700000048,8.899999619,10.60000038,4.602194467,0.8515551436,5.453749783,0.1536776829,0.8045478123,0.9582255599
"STP","Sao Tome and Principe","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,215048,"MtCO2e",0.1800000072,0.2199999988,0.400000006,0.150000006,0.2099999934,0.3600000143,0.8370224655,1.023027412,1.860049877,0.6975187212,0.9765261404,1.674044931
"SUR","Suriname","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,581363,"MtCO2e",4.460000038,9.369999886,13.82999992,2.650000095,9.359999657,12.01000023,7.671626915,16.11729657,23.78892348,4.558253785,16.10009522,20.65834982
"SVK","Slovak Republic","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,5454147,"MtCO2e",38.06000137,-1.059999943,37,31.07999992,-1.070000052,30.01000023,6.978176674,-0.1943475199,6.783828892,5.698416255,-0.1961810073,5.502235314
"SVN","Slovenia","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,2088385,"MtCO2e",16.45999908,0.349999994,16.80999947,13.60000038,0.3400000036,13.93999958,7.881688043,0.1675936161,8.049281845,6.512209378,0.1628052316,6.675014224
"SWE","Sweden","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,10278887,"MtCO2e",46.18999863,-16.31999969,29.87000084,35,-16.30999947,18.69000053,4.493677051,-1.587720509,2.905956729,3.405037919,-1.586747618,1.818290301
"SWZ","Eswatini","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,1148133,"MtCO2e",2.789999962,-0.1000000015,2.690000057,0.9599999785,-0.1199999973,0.8399999738,2.430032028,-0.08709792462,2.342934187,0.8361400452,-0.1045175057,0.7316225331
"SYC","Seychelles","SSF","Sub-Saharan Africa",,,"HIC","High income","IBD","IBRD",2019,97625,"MtCO2e",0.7799999714,0,0.7799999714,0.6100000143,0,0.6100000143,7.989756429,0,7.989756429,6.248399634,0,6.248399634
"SYR","Syrian Arab Republic","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,17070132,"MtCO2e",48.47999954,0,48.47999954,25.70999908,0.009999999776,25.71999931,2.84004831,0,2.84004831,1.506139442,0.0005858185383,1.506725274
"TCD","Chad","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,15946882,"MtCO2e",81.65000153,24.03000069,105.6800003,2.25,23.32999992,25.57999992,5.120123265,1.506877688,6.627000833,0.1410934125,1.462981912,1.604075325
"TGO","Togo","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,8082359,"MtCO2e",7.889999866,0.8199999928,8.710000038,2.369999886,0.8100000024,3.180000067,0.976200125,0.1014555271,1.077655674,0.2932312071,0.1002182658,0.393449495
"THA","Thailand","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,69625581,"MtCO2e",422.0899963,15.09000015,437.1799927,267.0899963,13.03999996,280.1300049,6.062283291,0.2167306891,6.279013926,3.836090019,0.1872874851,4.023377627
"TJK","Tajikistan","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,9321023,"MtCO2e",17.51000023,-0.1299999952,17.37999916,9.420000076,-0.1299999952,9.289999962,1.878549192,-0.01394696647,1.864602111,1.010618692,-0.01394696647,0.9966717132
"TKM","Turkmenistan","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,5942094,"MtCO2e",157.3300018,0,157.3300018,72.87000275,0,72.87000275,26.47719841,0,26.47719841,12.26335409,0,12.26335409
"TLS","Timor-Leste","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,1293120,"MtCO2e",5.909999847,0.4699999988,6.380000114,0.6200000048,0.4600000083,1.080000043,4.570341382,0.3634620134,4.933803602,0.4794605333,0.3557287865,0.8351893428
"TON","Tonga","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","UMC","Upper middle income","IDX","IDA",2019,104497,"MtCO2e",0.3100000024,0,0.3100000024,0.1599999964,0,0.1599999964,2.966592365,0,2.966592365,1.531144401,0,1.531144401
"TTO","Trinidad and Tobago","LCN","Latin America and Caribbean",,,"HIC","High income","IBD","IBRD",2019,1394969,"MtCO2e",28.34000015,0.1299999952,28.46999931,17.19000053,0.1199999973,17.30999947,20.31586376,0.09319203167,20.40905519,12.32285487,0.08602341509,12.40887752
"TUN","Tunisia","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,11694721,"MtCO2e",41.59000015,-3.779999971,37.81000137,29.90999985,-3.789999962,26.12000084,3.556305461,-0.3232227576,3.233082805,2.557564208,-0.3240778435,2.233486446
"TUR","Turkey","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,83429607,"MtCO2e",488.4700012,-28.61000061,459.8599854,396.8399963,-28.64999962,368.1900024,5.85487597,-0.3429238329,5.511951954,4.75658475,-0.3434032671,4.413181551
"TUV","Tuvalu","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","UMC","Upper middle income","IDX","IDA",2019,11655,"MtCO2e",0.02999999933,0,0.02999999933,0.009999999776,0,0.009999999776,2.574002516,0,2.574002516,0.8580008388,0,0.8580008388
"TZA","Tanzania","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,58005461,"MtCO2e",84,70.88999939,154.8899994,12.44999981,64.09999847,76.55000305,1.448139512,1.222126299,2.670265812,0.2146349601,1.10506834,1.319703382
"UGA","Uganda","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,44269587,"MtCO2e",43.29000092,15.85999966,59.15000153,5.860000134,15.81999969,21.68000031,0.9778722561,0.3582594899,1.336131768,0.1323707884,0.3573559359,0.4897267351
"UKR","Ukraine","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,44386203,"MtCO2e",233.2599945,-11.97000027,221.2899933,174.7299957,-12.18999958,162.5399933,5.255236509,-0.2696784013,4.985558086,3.936583531,-0.274634881,3.661948585
"URY","Uruguay","LCN","Latin America and Caribbean",,,"HIC","High income","IBD","IBRD",2019,3461731,"MtCO2e",36.11999893,-1.75999999,34.36000061,6.489999771,-1.769999981,4.71999979,10.43408599,-0.5084161625,9.925670311,1.874784543,-0.5113048879,1.363479655
"USA","United States","NAC","North America",,,"HIC","High income","LNX","Not classified",2019,328329953,"MtCO2e",6001.209961,-230.2100067,5771,4817.720215,-231.7299957,4585.990234,18.27798502,-0.7011544473,17.57683071,14.67341061,-0.7057839031,13.96762675
"UZB","Uzbekistan","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,33580350,"MtCO2e",188.7599945,-3.369999886,185.3899994,116.7099991,-3.369999886,113.3399963,5.621144345,-0.1003563062,5.520788181,3.47554445,-0.1003563062,3.375188059
"VCT","St Vincent and the Grenadines","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IDB","Blend",2019,110593,"MtCO2e",0.3400000036,0,0.3400000036,0.2599999905,0,0.2599999905,3.074335659,0,3.074335659,2.350962452,0,2.350962452
"VEN","Venezuela, RB","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","INX","Not classified","IBD","IBRD",2019,28515829,"MtCO2e",255.7400055,43.86000061,299.6000061,112.3399963,43.13000107,155.4700012,8.968352472,1.538093128,10.5064456,3.939566209,1.512493327,5.452059669
"VNM","Vietnam","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,96462108,"MtCO2e",450.1499939,-12.03999996,438.1099854,336.4899902,-12.48999977,324,4.666599178,-0.1248158496,4.541783239,3.488312636,-0.1294808918,3.358831843
"VUT","Vanuatu","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,299882,"MtCO2e",0.8700000048,0,0.8700000048,0.2099999934,0,0.2099999934,2.901141131,0,2.901141131,0.7002754198,0,0.7002754198
